Geography,Date,Weekly Cases,Historic Cases
United States,Nov  9 2022,288989,0
United States,Nov  2 2022,273021,0
United States,Oct 26 2022,260772,0
United States,Oct 19 2022,260927,0
United States,Oct 12 2022,265572,0
United States,Oct  5 2022,320504,0
United States,Sep 28 2022,343217,0
United States,Sep 21 2022,396414,0
United States,Sep 14 2022,472547,0
United States,Sep  7 2022,525783,0
United States,Aug 31 2022,616722,0
United States,Aug 24 2022,651771,0
United States,Aug 17 2022,694256,0
United States,Aug 10 2022,772458,0
United States,Aug  3 2022,839433,0
United States,Jul 27 2022,923934,0
United States,Jul 20 2022,905047,0
United States,Jul 13 2022,865297,0
United States,Jul  6 2022,779453,0
United States,Jun 29 2022,771555,0
United States,Jun 22 2022,693663,0
United States,Jun 15 2022,725491,0
United States,Jun  8 2022,772917,0
United States,Jun  1 2022,717686,0
United States,May 25 2022,773706,0
United States,May 18 2022,699010,0
United States,May 11 2022,582571,0
United States,May  4 2022,450545,0
United States,Apr 27 2022,367024,0
United States,Apr 20 2022,293198,0
United States,Apr 13 2022,227628,0
United States,Apr  6 2022,194516,0
United States,Mar 30 2022,193136,0
United States,Mar 23 2022,192675,0
United States,Mar 16 2022,212496,0
United States,Mar  9 2022,267814,0
United States,Mar  2 2022,366702,0
United States,Feb 23 2022,545765,0
United States,Feb 16 2022,922606,0
United States,Feb  9 2022,1479574,0
United States,Feb  2 2022,2687748,0
United States,Jan 26 2022,4405760,0
United States,Jan 19 2022,5596673,0
United States,Jan 12 2022,5490209,0
United States,Jan  5 2022,4136128,0
United States,Dec 29 2021,2155049,0
United States,Dec 22 2021,1165895,0
United States,Dec 15 2021,838884,0
United States,Dec  8 2021,843948,0
United States,Dec  1 2021,615128,0
United States,Nov 24 2021,669390,0
United States,Nov 17 2021,614155,0
United States,Nov 10 2021,538169,0
United States,Nov  3 2021,503789,0
United States,Oct 27 2021,505837,0
United States,Oct 20 2021,533268,0
United States,Oct 13 2021,618525,0
United States,Oct  6 2021,706031,0
United States,Sep 29 2021,800660,0
United States,Sep 22 2021,920454,0
United States,Sep 15 2021,1086711,0
United States,Sep  8 2021,1067592,0
United States,Sep  1 2021,1177170,0
United States,Aug 25 2021,1010769,0
United States,Aug 18 2021,1002507,0
United States,Aug 11 2021,903741,0
United States,Aug  4 2021,671791,0
United States,Jul 28 2021,454607,0
United States,Jul 21 2021,289034,0
United States,Jul 14 2021,179278,0
United States,Jul  7 2021,109723,0
United States,Jun 30 2021,93928,0
United States,Jun 23 2021,82177,0
United States,Jun 16 2021,86698,0
United States,Jun  9 2021,99856,0
United States,Jun  2 2021,111083,0
United States,May 26 2021,161114,0
United States,May 19 2021,208477,0
United States,May 12 2021,253405,0
United States,May  5 2021,325430,0
United States,Apr 28 2021,369545,0
United States,Apr 21 2021,446214,0
United States,Apr 14 2021,497389,0
United States,Apr  7 2021,458966,0
United States,Mar 31 2021,448759,0
United States,Mar 24 2021,403130,0
United States,Mar 17 2021,382869,0
United States,Mar 10 2021,392732,0
United States,Mar  3 2021,443583,0
United States,Feb 24 2021,476481,0
United States,Feb 17 2021,539275,0
United States,Feb 10 2021,727741,0
United States,Feb  3 2021,955166,0
United States,Jan 27 2021,1140772,0
United States,Jan 20 2021,1378315,0
United States,Jan 13 2021,1709060,0
United States,Jan  6 2021,1605417,0
United States,Dec 30 2020,1302040,0
United States,Dec 23 2020,1499820,0
United States,Dec 16 2020,1524870,0
United States,Dec  9 2020,1479821,0
United States,Dec  2 2020,1173574,0
United States,Nov 25 2020,1252749,0
United States,Nov 18 2020,1144214,0
United States,Nov 11 2020,920571,0
United States,Nov  4 2020,705192,0
United States,Oct 28 2020,528463,0
United States,Oct 21 2020,434386,0
United States,Oct 14 2020,371670,0
United States,Oct  7 2020,318542,0
United States,Sep 30 2020,296079,0
United States,Sep 23 2020,306220,0
United States,Sep 16 2020,271498,0
United States,Sep  9 2020,255572,0
United States,Sep  2 2020,289622,0
United States,Aug 26 2020,296187,0
United States,Aug 19 2020,330560,0
United States,Aug 12 2020,377324,0
United States,Aug  5 2020,398220,0
United States,Jul 29 2020,450701,0
United States,Jul 22 2020,467229,0
United States,Jul 15 2020,441354,0
United States,Jul  8 2020,369702,0
United States,Jul  1 2020,311810,0
United States,Jun 24 2020,219355,0
United States,Jun 17 2020,158882,0
United States,Jun 10 2020,142643,0
United States,Jun  3 2020,144648,0
United States,May 27 2020,145474,0
United States,May 20 2020,157615,0
United States,May 13 2020,159088,0
United States,May  6 2020,187822,0
United States,Apr 29 2020,196445,0
United States,Apr 22 2020,199566,0
United States,Apr 15 2020,206851,0
United States,Apr  8 2020,219999,0
United States,Apr  1 2020,159836,0
United States,Mar 25 2020,60921,0
United States,Mar 18 2020,8490,0
United States,Mar 11 2020,1226,0
United States,Mar  4 2020,118,0
United States,Feb 26 2020,31,0
United States,Feb 19 2020,16,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,7,0
